日期,商品名稱,身份別,多方交易口數,多方交易契約金額(千元),空方交易口數,空方交易契約金額(千元),多空交易口數淨額,多空交易契約金額淨額(千元),多方未平倉口數,多方未平倉契約金額(千元),空方未平倉口數,空方未平倉契約金額(千元),多空未平倉口數淨額,多空未平倉契約金額淨額(千元)
2015/7/28,小型臺指期貨,外資及陸資,31553,13463486,31248,13334679,305,128807,66,28062,9416,4007326,-9350,-3979264
2015/7/29,小型臺指期貨,自營商,8746,3711439,8282,3514075,464,197364,2745,1162510,13363,5665200,-10618,-4502690
2015/7/29,小型臺指期貨,投信,226,96129,136,57713,90,38416,98,41577,180,76365,-82,-34788
2015/7/29,小型臺指期貨,外資及陸資,31869,13531378,31882,13537319,-13,-5941,74,31285,9114,3853081,-9040,-3821796
2015/7/30,小型臺指期貨,自營商,11140,4776785,7139,3060740,4001,1716045,3500,1502618,10097,4342217,-6597,-2839599
2015/7/30,小型臺指期貨,投信,240,103080,104,44642,136,58439,98,42174,180,77463,-82,-35289
2015/7/30,小型臺指期貨,外資及陸資,30276,12987039,28932,12411058,1344,575981,725,312021,8789,3768292,-8064,-3456271
2015/7/31,小型臺指期貨,自營商,6287,2686704,6437,2748573,-150,-61869,3056,1307896,9683,4148244,-6627,-2840348
2015/7/31,小型臺指期貨,投信,212,90692,224,95709,-12,-5017,98,42018,180,77175,-82,-35157
2015/7/31,小型臺指期貨,外資及陸資,31137,13309749,32324,13817771,-1187,-508023,128,54932,8987,3839037,-8859,-3784105
2015/8/3,小型臺指期貨,自營商,7964,3362765,7619,3215040,345,147725,4046,1708016,8832,3729152,-4786,-2021136
2015/8/3,小型臺指期貨,投信,261,110276,220,92792,41,17484,103,43538,180,76086,-77,-32548
2015/8/3,小型臺指期貨,外資及陸資,31945,13491952,32389,13684047,-444,-192095,130,54989,8861,3732999,-8731,-3678010
2015/8/4,小型臺指期貨,自營商,8444,3579350,9123,3863817,-679,-284467,3720,1571743,9341,3948712,-5621,-2376969
2015/8/4,小型臺指期貨,投信,188,79783,224,95024,-36,-15241,103,43590,180,76176,-77,-32586
2015/8/4,小型臺指期貨,外資及陸資,34744,14737938,34592,14674817,152,63120,195,82531,8822,3720946,-8627,-3638415
2015/8/5,小型臺指期貨,自營商,6621,2812081,5867,2491715,754,320366,3528,1499308,8422,3584261,-4894,-2084953
2015/8/5,小型臺指期貨,投信,246,104717,156,66256,90,38461,105,44735,180,76689,-75,-31954
2015/8/5,小型臺指期貨,外資及陸資,29437,12514346,29118,12377705,319,136641,290,123428,8789,3732851,-8499,-3609423
2015/8/6,小型臺指期貨,自營商,10399,4388785,12104,5113160,-1705,-724374,4356,1824968,10375,4347171,-6019,-2522203
2015/8/6,小型臺指期貨,投信,40,16922,228,96702,-188,-79781,105,44048,180,75510,-75,-31462
2015/8/6,小型臺指期貨,外資及陸資,33589,14182973,36062,15237281,-2473,-1054308,81,33845,9281,3881475,-9200,-3847630
2015/8/7,小型臺指期貨,自營商,8740,3655567,7619,3186247,1121,469320,5368,2247337,10718,4489812,-5350,-2242475
2015/8/7,小型臺指期貨,投信,228,95607,192,80448,36,15159,93,39009,180,75501,-87,-36492
2015/8/7,小型臺指期貨,外資及陸資,35055,14676552,33273,13932357,1782,744195,241,100954,8899,3719861,-8658,-3618907
2015/8/10,小型臺指期貨,自營商,7825,3285157,6734,2827381,1091,457776,6729,2835176,10956,4618992,-4227,-1783816
2015/8/10,小型臺指期貨,投信,248,104288,208,87360,40,16928,93,39255,180,75978,-87,-36723
