日期,商品名稱,身份別,多方交易口數,多方交易契約金額(千元),空方交易口數,空方交易契約金額(千元),多空交易口數淨額,多空交易契約金額淨額(千元),多方未平倉口數,多方未平倉契約金額(千元),空方未平倉口數,空方未平倉契約金額(千元),多空未平倉口數淨額,多空未平倉契約金額淨額(千元)
2015/6/18,臺股期貨,自營商,13701,24777674,12780,23102624,921,1675051,7509,13516244,2649,4761833,4860,8754411
2015/6/18,臺股期貨,投信,137,247888,311,562326,-174,-314439,1681,3038127,4708,8519597,-3027,-5481470
2015/6/18,臺股期貨,外資及陸資,27149,49105233,24885,45008767,2264,4096466,22391,40406278,30865,55659642,-8474,-15253364
2015/6/22,臺股期貨,自營商,18536,33958720,18851,34574457,-315,-615738,7622,13892519,3043,5554077,4579,8338442
2015/6/22,臺股期貨,投信,643,1179447,108,198321,535,981126,1846,3384459,4338,7962833,-2492,-4578374
2015/6/22,臺股期貨,外資及陸資,27474,50373471,24102,44174057,3372,6199414,26520,48557078,31163,56971242,-4643,-8414164
2015/6/23,臺股期貨,自營商,17740,32756983,16944,31278277,796,1478706,8151,14946350,2880,5281004,5271,9665346
2015/6/23,臺股期貨,投信,234,432535,173,319335,61,113199,1846,3403637,4277,7895342,-2431,-4491705
2015/6/23,臺股期貨,外資及陸資,26063,48138418,26899,49672550,-836,-1534132,26838,49410346,32219,59232625,-5381,-9822279
2015/6/24,臺股期貨,自營商,10821,19950443,13088,24116280,-2267,-4165837,6602,12112115,3458,6353296,3144,5758819
2015/6/24,臺股期貨,投信,258,476261,138,254438,120,221823,1806,3335638,4117,7613156,-2311,-4277518
2015/6/24,臺股期貨,外資及陸資,24818,45754258,18826,34716203,5992,11038055,28507,52570447,27678,50941369,829,1629078
2015/6/25,臺股期貨,自營商,20933,39029986,22183,41367093,-1250,-2337107,5981,11085177,3983,7402817,1998,3682360
2015/6/25,臺股期貨,投信,408,761089,115,214738,293,546351,1902,3549824,3920,7324128,-2018,-3774304
2015/6/25,臺股期貨,外資及陸資,36927,68889954,35150,65586125,1777,3303829,31951,59531060,29061,54058258,2890,5472802
2015/6/26,臺股期貨,自營商,10947,20392953,9845,18340713,1102,2052239,6755,12503497,3615,6701850,3140,5801647
2015/6/26,臺股期貨,投信,787,1467838,108,201355,679,1266484,2455,4573291,3794,7073534,-1339,-2500243
2015/6/26,臺股期貨,外資及陸資,16771,31255915,20318,37861082,-3547,-6605167,30318,56358225,31019,57583472,-701,-1225247
2015/6/29,臺股期貨,自營商,22930,41988949,24039,44009212,-1109,-2020263,7044,12787916,5047,9172730,1997,3615186
2015/6/29,臺股期貨,投信,498,911372,502,918927,-4,-7555,2687,4907364,4030,7366034,-1343,-2458670
2015/6/29,臺股期貨,外資及陸資,34920,63985805,35896,65774183,-976,-1788377,28611,52126738,30496,55480510,-1885,-3353772
2015/6/30,臺股期貨,自營商,14739,27018115,15661,28711363,-922,-1693248,6033,11022700,5159,9460197,874,1562503
2015/6/30,臺股期貨,投信,276,508214,171,314120,105,194094,2820,5191111,4058,7475648,-1238,-2284537
2015/6/30,臺股期貨,外資及陸資,29620,54293200,24676,45241911,4944,9051289,31571,57991416,28610,52442821,2961,5548595
2015/7/1,臺股期貨,自營商,23028,42661417,21734,40291719,1294,2369697,6130,11293041,4012,7421894,2118,3871147
2015/7/1,臺股期貨,投信,369,684445,73,135832,296,548613,2943,5465295,3885,7219884,-942,-1754589
2015/7/1,臺股期貨,外資及陸資,32725,60683067,29499,54686257,3226,5996809,33160,61453528,27027,49958825,6133,11494703
2015/7/2,臺股期貨,自營商,12222,22688829,10218,18962762,2004,3726067,7206,13269972,3058,5639328,4148,7630644
2015/7/2,臺股期貨,投信,304,564985,82,152280,222,412705,3133,5809034,3854,7150712,-721,-1341678
2015/7/2,臺股期貨,外資及陸資,21721,40351166,24695,45876906,-2974,-5525741,31393,58082182,28326,52289188,3067,5792994
2015/7/3,臺股期貨,自營商,20523,37887629,20467,37785194,56,102435,7140,13174816,2928,5419312,4212,7755504
2015/7/3,臺股期貨,投信,233,431533,216,399130,17,32402,3157,5868676,3854,7169211,-697,-1300535
2015/7/3,臺股期貨,外資及陸資,36003,66478634,35188,64953665,815,1524969,32349,60020088,28689,53094303,3660,6925785
2015/7/6,臺股期貨,自營商,18526,34166050,19522,35999651,-996,-1833601,6885,12558944,3646,6677968,3239,5880976
2015/7/6,臺股期貨,投信,191,352388,313,576875,-122,-224488,3150,5793935,3982,7329269,-832,-1535334
2015/7/6,臺股期貨,外資及陸資,33479,61795669,35094,64753330,-1615,-2957661,32055,58843802,30122,55144376,1933,3699426
2015/7/7,臺股期貨,自營商,18503,34211485,21043,38925523,-2540,-4714039,5958,10893638,5237,9649578,721,1244060
2015/7/7,臺股期貨,投信,269,497402,263,486431,6,10971,3091,5709295,3914,7234638,-823,-1525343
2015/7/7,臺股期貨,外資及陸資,37949,70221311,35031,64795099,2918,5426212,34587,63771970,29743,54679179,4844,9092791
2015/7/8,臺股期貨,自營商,45235,81526168,43495,78429982,1740,3096186,7572,13440992,5394,9594498,2178,3846494
2015/7/8,臺股期貨,投信,420,751054,1058,1899390,-638,-1148336,2970,5306710,4472,7992504,-1502,-2685794
2015/7/8,臺股期貨,外資及陸資,57260,103277187,68272,123227799,-11012,-19950612,30634,54655984,37454,66686635,-6820,-12030651
2015/7/9,臺股期貨,自營商,37650,66448170,37148,65513011,502,935159,8224,14487407,5663,9990112,2561,4497295
2015/7/9,臺股期貨,投信,609,1078915,843,1477725,-234,-398811,2990,5299445,4740,8393558,-1750,-3094113
2015/7/9,臺股期貨,外資及陸資,62233,109855023,62271,109997887,-38,-142864,29493,52164919,36639,64687121,-7146,-12522202
2015/7/13,臺股期貨,自營商,35253,63009259,31518,56306616,3735,6702644,12527,22387979,6035,10751696,6492,11636283
2015/7/13,臺股期貨,投信,4427,7914608,4124,7307001,303,607607,3088,5521273,4502,7994508,-1414,-2473235
2015/7/13,臺股期貨,外資及陸資,63999,114189058,60287,107675352,3712,6513707,34252,61188974,37659,67262652,-3407,-6073678
2015/7/14,臺股期貨,自營商,28365,51091682,29415,52988623,-1050,-1896941,10514,18745107,4917,8763525,5597,9981582
2015/7/14,臺股期貨,投信,2134,3812541,1746,3133963,388,678578,3385,6013944,4405,7796301,-1020,-1782357
2015/7/14,臺股期貨,外資及陸資,71324,128258189,68396,122950604,2928,5307585,38606,68556323,38860,68936691,-254,-380368
2015/7/15,臺股期貨,自營商,29938,53726318,31685,56869212,-1747,-3142895,5119,9079154,2817,5000192,2302,4078962
2015/7/15,臺股期貨,投信,1479,2626902,1133,2039588,346,587314,3685,6550879,4321,7682738,-636,-1131859
2015/7/15,臺股期貨,外資及陸資,39870,71168027,36457,65068492,3413,6099535,28110,49942538,27754,49282896,356,659642
2015/7/16,臺股期貨,自營商,17740,31679886,17627,31476285,113,203601,5426,9656092,3042,5417338,2384,4238754
2015/7/16,臺股期貨,投信,736,1313802,181,323174,555,990629,3774,6728870,3870,6900984,-96,-172114
2015/7/16,臺股期貨,外資及陸資,35521,63452766,38988,69627738,-3467,-6174972,25914,46176172,29026,51702334,-3112,-5526162
2015/7/17,臺股期貨,自營商,15574,27737502,15065,26821485,509,916017,5657,10064906,2864,5098099,2793,4966807
2015/7/17,臺股期貨,投信,151,269037,207,368637,-56,-99601,3709,6610716,3855,6871923,-146,-261207
2015/7/17,臺股期貨,外資及陸資,30020,53455587,27510,48988506,2510,4467081,27360,48737162,27826,49544470,-466,-807308
2015/7/20,臺股期貨,自營商,26567,47308990,27960,49817464,-1393,-2508474,5350,9451823,3945,6975713,1405,2476110
2015/7/20,臺股期貨,投信,346,615065,407,723432,-61,-108368,3705,6557705,3929,6955116,-224,-397411
2015/7/20,臺股期貨,外資及陸資,37765,67318358,40367,71948669,-2602,-4630311,26439,46769317,29542,52237922,-3103,-5468605
2015/7/21,臺股期貨,自營商,18326,32543266,18327,32527289,-1,15976,5335,9510012,3929,7014089,1406,2495923
2015/7/21,臺股期貨,投信,196,348630,282,500459,-86,-151829,3718,6644585,4013,7172836,-295,-528251
2015/7/21,臺股期貨,外資及陸資,36077,64021184,31935,56683586,4142,7337598,26747,47768920,25584,45661979,1163,2106941
2015/7/22,臺股期貨,自營商,24224,42784731,26387,46625548,-2163,-3840817,4612,8101731,5100,8979997,-488,-878266
2015/7/22,臺股期貨,投信,369,651117,254,448441,115,202676,3777,6654944,3981,7015318,-204,-360374
2015/7/22,臺股期貨,外資及陸資,32592,57584365,40644,71809758,-8052,-14225393,22927,40368281,30124,53016046,-7197,-12647765
2015/7/23,臺股期貨,自營商,29041,50786684,27754,48528891,1287,2257793,6053,10574689,5211,9113269,842,1461420
